S.No,Team Size,Release Frequency,Compliance,Scalability,Project Size,Project Length,Security Level,Recommended Tools
94,Medium,Daily,Low,Manual,Small,Long,None,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
95,Medium,Daily,Medium,Auto-scaling,Medium,Short,Moderate,"CircleCI, GitHub, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
96,Large,Daily,High,None,Large,Short,Moderate,"Travis CI, GitHub, Docker, Prometheus, None, SonarQube, Terraform, JFrog Artifactory"
97,Medium,Daily,Low,None,Small,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
98,Medium,Weekly,Low,None,Medium,Short,None,"CircleCI, GitLab, Docker, ELK Stack, None, OWASP ZAP, Terraform, Nexus Repository"
99,Large,Daily,Low,Manual,Medium,Medium,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
100,Medium,Daily,Medium,None,Medium,Short,Moderate,"CircleCI, GitHub, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
101,Small,Weekly,Medium,Manual,Large,Long,Moderate,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
102,Medium,Monthly,High,None,Small,Medium,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, None, SonarQube, Ansible, Nexus Repository"
103,Medium,Daily,High,None,Large,Short,Strict,"CircleCI, GitHub, Docker, Prometheus, None, HashiCorp Vault, Terraform, JFrog Artifactory"
104,Large,Daily,Low,Auto-scaling,Large,Short,Strict,"Travis CI, GitHub, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
105,Medium,Weekly,Medium,Manual,Large,Long,None,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
106,Large,Daily,High,Manual,Medium,Long,None,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
107,Small,Monthly,Medium,None,Medium,Short,Strict,"Jenkins, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
108,Large,Weekly,Low,Auto-scaling,Small,Medium,Moderate,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
109,Large,Weekly,High,Manual,Small,Long,Strict,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
110,Small,Weekly,High,None,Large,Long,Moderate,"Jenkins, GitLab, Docker, Prometheus, None, SonarQube, Ansible, JFrog Artifactory"
111,Small,Monthly,Low,Manual,Large,Short,Moderate,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
112,Small,Monthly,High,None,Large,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Terraform, JFrog Artifactory"
113,Medium,Monthly,High,None,Large,Medium,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, None, SonarQube, Ansible, JFrog Artifactory"
114,Medium,Weekly,Medium,Manual,Small,Long,None,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
115,Medium,Weekly,Medium,None,Large,Short,Strict,"CircleCI, GitLab, Docker, Grafana, None, HashiCorp Vault, Terraform, JFrog Artifactory"
116,Medium,Monthly,High,Auto-scaling,Small,Short,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
117,Large,Monthly,Medium,Manual,Small,Medium,Strict,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
118,Medium,Weekly,Medium,Manual,Large,Medium,Strict,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
119,Medium,Daily,Medium,None,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
120,Medium,Monthly,High,Auto-scaling,Medium,Short,Strict,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
121,Medium,Weekly,Low,None,Medium,Short,None,"CircleCI, GitLab, Docker, ELK Stack, None, OWASP ZAP, Terraform, Nexus Repository"
122,Medium,Monthly,Medium,None,Small,Long,Strict,"CircleCI, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
123,Medium,Monthly,Medium,Auto-scaling,Medium,Short,None,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
124,Small,Daily,Medium,Manual,Large,Medium,None,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
125,Large,Weekly,Low,Auto-scaling,Large,Medium,Strict,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
126,Small,Daily,High,Auto-scaling,Small,Long,Moderate,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
127,Medium,Monthly,Medium,None,Large,Long,Moderate,"CircleCI, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, JFrog Artifactory"
128,Large,Weekly,Low,Manual,Medium,Medium,Strict,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
129,Small,Weekly,Low,None,Small,Long,Strict,"Jenkins, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
130,Medium,Weekly,High,Auto-scaling,Medium,Short,Moderate,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
131,Small,Daily,Medium,None,Large,Short,Moderate,"Jenkins, GitHub, Docker, Grafana, None, SonarQube, Terraform, JFrog Artifactory"
132,Large,Weekly,Medium,Manual,Small,Medium,Strict,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
133,Medium,Monthly,Low,None,Large,Short,None,"CircleCI, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Terraform, JFrog Artifactory"
134,Medium,Weekly,Medium,Auto-scaling,Small,Short,Moderate,"CircleCI, GitLab, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
135,Medium,Monthly,Low,Auto-scaling,Medium,Short,None,"CircleCI, Bitbucket, Docker, ELK Stack, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
136,Large,Monthly,Medium,Manual,Large,Medium,None,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
137,Small,Weekly,Low,Manual,Medium,Medium,Moderate,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
138,Small,Daily,Medium,None,Medium,Long,None,"Jenkins, GitHub, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
139,Small,Daily,High,None,Large,Long,Strict,"Jenkins, GitHub, Docker, Prometheus, None, HashiCorp Vault, Ansible, JFrog Artifactory"
140,Large,Weekly,Low,Auto-scaling,Small,Medium,None,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
141,Medium,Monthly,Medium,None,Small,Short,Moderate,"CircleCI, Bitbucket, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
142,Small,Monthly,Medium,Auto-scaling,Small,Long,Moderate,"Jenkins, Bitbucket, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
143,Small,Daily,Medium,Manual,Large,Medium,Moderate,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
144,Medium,Weekly,Low,Auto-scaling,Large,Medium,Strict,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
145,Large,Weekly,Low,Auto-scaling,Large,Long,Strict,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
146,Medium,Daily,Medium,Auto-scaling,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
147,Small,Monthly,Medium,Manual,Large,Medium,None,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
148,Medium,Weekly,Low,Manual,Small,Long,Strict,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
149,Small,Weekly,Medium,Auto-scaling,Small,Long,None,"Jenkins, GitLab, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
150,Large,Daily,Medium,Manual,Small,Long,None,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
151,Small,Daily,High,Manual,Small,Long,None,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
152,Small,Monthly,High,None,Small,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Terraform, Nexus Repository"
153,Small,Monthly,Low,Manual,Medium,Medium,Moderate,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
154,Small,Weekly,Medium,None,Medium,Short,Moderate,"Jenkins, GitLab, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
155,Small,Monthly,Medium,None,Medium,Short,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, Nexus Repository"
156,Small,Weekly,Medium,None,Medium,Short,Moderate,"Jenkins, GitLab, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
157,Small,Monthly,Medium,None,Large,Short,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, JFrog Artifactory"
158,Large,Weekly,Low,Auto-scaling,Small,Long,Moderate,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
159,Medium,Monthly,Medium,Auto-scaling,Medium,Medium,Moderate,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
160,Small,Weekly,Medium,None,Small,Long,None,"Jenkins, GitLab, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
161,Large,Daily,Medium,Manual,Medium,Short,None,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
162,Large,Weekly,High,Manual,Large,Long,Moderate,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
163,Large,Daily,Medium,Manual,Small,Long,None,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
164,Medium,Monthly,Medium,Manual,Large,Long,Moderate,"CircleCI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
165,Large,Daily,Medium,Auto-scaling,Large,Short,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
166,Small,Weekly,Low,Auto-scaling,Small,Short,Moderate,"Jenkins, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
167,Small,Monthly,Medium,Manual,Large,Medium,Moderate,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
168,Medium,Monthly,Medium,None,Large,Short,Strict,"CircleCI, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Terraform, JFrog Artifactory"
169,Medium,Monthly,Low,Auto-scaling,Small,Short,None,"CircleCI, Bitbucket, Docker, ELK Stack, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
170,Small,Monthly,High,Manual,Small,Short,None,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
171,Small,Daily,High,Auto-scaling,Medium,Long,Strict,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
172,Medium,Weekly,High,Auto-scaling,Small,Medium,None,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
173,Small,Weekly,Low,Auto-scaling,Large,Medium,None,"Jenkins, GitLab, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
174,Small,Monthly,Medium,Manual,Medium,Long,Strict,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
175,Large,Monthly,Medium,Manual,Small,Medium,None,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
